md4c 0.4.3-1
mdadm 4.1-2
media-player-info 24-1
mesa 20.0.7-3
meson 0.54.0-1
minecraft-launcher-beta 2.1.14403-1
miniupnpc 2.1.20190408-1
minizip 1:1.2.11-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mlocate 0.26.git.20170220-2
mobile-broadband-provider-info 20190618-1
mpd 0.21.21-1
mpfr 4.0.2-2
mpg123 1.25.13-1
mtdev 1.1.6-1
ncmpcpp 0.8.2-11
ncurses 6.2-1
ndctl 68-1
neofetch 7.0.0-1
netpbm 10.73.31-1
nettle 3.5.1-2
networkmanager 1.22.10-1
ninja 1.10.0-1
node-gyp 6.1.0-1
nodejs 13.12.0-1
noto-fonts 20190926-4
npm 6.14.4-1
npth 1.6-2
nspr 4.25-1
nss 3.51-1
ntp 4.2.8.p14-1
nvidia-utils-beta 440.82-1
obconf 2.0.4-6
obs-studio 25.0.3-1
openal 1.20.1-2
openbox 3.6.1-6
opencore-amr 0.1.5-3
openexr 2.4.1-2
openjpeg2 2.3.1-1
openmpi 4.0.3-1
openssh 8.2p1-3
openssl 1.1.1.e-1
opera-ffmpeg-codecs 81.0.4044.129-1
opus 1.3.1-1
orc 0.4.31-1
p11-kit 0.23.20-3
p7zip 16.02-5
pacman 5.2.1-4
pacman-mirrorlist 20200207-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
pangox-compat 0.0.2+2+gedb9e09-3
parted 3.3-1
patch 2.7.6-8
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.34-3
perl 5.30.2-1
perl-encode-locale 1.05-5
perl-error 0.17029-1
perl-file-listing 6.04-6
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.08-1
perl-http-daemon 6.06-1
perl-http-date 6.05-1
perl-http-message 6.22-1
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-libwww 6.43-1
perl-lwp-mediatypes 6.02-6
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-timedate 2.32-1
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-robotrules 6.02-6
perl-xml-parser 2.46-1
pfetch-git r292.9f55ffb-1
phonon-qt5 4.11.1-1
phonon-qt5-gstreamer 4.10.0-1
picom 7.5-3
pinentry 1.1.0-5
pixman 0.38.4-1
pkgconf 1.6.3-3
polkit 0.116-5
polkit-qt5 0.113.0-1
polybar 3.4.2-1
poppler 0.86.1-1
poppler-glib 0.86.1-1
poppler-qt5 0.86.1-1
popt 1.16-12
portaudio 1:19.6.0-6
procps-ng 3.3.16-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
python 3.8.2-1
python-anytree 2.8.0-1
python-appdirs 1.4.3-5
python-attrs 19.3.0-4
python-babel 2.8.0-4
python-beaker 1.11.0-3
python-chardet 3.0.4-4
python-docutils 0.14-4
python-future 0.18.2-2
python-idna 2.9-1
python-imagesize 1.2.0-1
python-jinja 2.11.1-1
python-lxml 4.5.0-1
python-mako 1.1.2-1
python-markdown 3.1.1-4
python-markupsafe 1.1.1-3
python-ordered-set 3.1.1-1
python-packaging 20.3-1
python-psutil 5.7.0-1
python-pygments 2.6.1-2
python-pyparsing 2.4.6-1
python-pypeg2 2.15.2-5
python-pyqt5 5.14.1-2
python-pyqt5-sip 12.7.1-1
python-pyqtwebengine 5.14.0-3
python-pytz 2019.3-3
python-pywal 3.3.0-2
python-requests 2.23.0-1
python-rofi 1.0.1-4
python-setuptools 1:46.1.3-1
python-six 1.14.0-1
python-snowballstemmer 2.0.0-3
python-sphinx 2.4.4-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-urllib3 1.25.8-2
python-yaml 5.3.1-1
python2 2.7.17-2
python2-feedparser 5.2.1-5
qpdf 9.1.1-1
qt5-base 5.14.1-4
qt5-declarative 5.14.1-1
qt5-location 5.14.1-1
qt5-multimedia 5.14.1-1
qt5-speech 5.14.1-1
qt5-svg 5.14.1-1
qt5-webchannel 5.14.1-1
qt5-webengine 5.14.1-2
qt5-x11extras 5.14.1-1
qutebrowser 1.10.1-1
ranger 1.9.3-1
rawdog 2.23-1
re2 1:20200303-1
readline 8.0.004-1
redshift 1.12-3
rest 0.8.1-1
rhash 1.3.9-1
ripgrep 12.0.1-1
rofi 1.5.4-1
rtkit 0.12-1
run-parts 4.8.6.1-2
rust 1:1.42.0-1
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
scrot 1.2-1
sdl2 2.0.12-1
sed 4.8-1
semver 7.1.3-1
shaderc 2020.0-1
shadow 4.8.1-1
shared-mime-info 1.15-2
slang 2.3.2-1
smbclient 4.11.3-3
snapd 2.43.3-1
snappy 1.1.8-1
snappy-player 1.0-5
solid 5.68.0-1
sonnet 5.68.0-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2020.2-1
spotify-tui 0.17.1-1
sqlite 3.31.1-1
squashfs-tools 4.4-1
startup-notification 0.12-6
sudo 1.8.31.p1-1
swig 4.0.1-2
sxhkd 0.6.1-1
syntax-highlighting 5.68.0-1
sysfsutils 2.1.0-11
systemd 245.3-2
systemd-libs 245.3-2
systemd-sysvcompat 245.3-2
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tdb 1.4.3-2
tevent 1:0.10.2-1
texinfo 6.7-2
thin-provisioning-tools 0.8.5-3
thunar 1.8.14-1
tslib 1.21-1
ttf-iosevka 2.3.3-1
tty-clock 2.3-1
twolame 0.4.0-2
tzdata 2019c-3
udisks2 2.8.4-2
ufetch-git 1:r153.9831ec2-1
units 2.19-1
unzip 6.0-13
upower 0.99.11-1
usbmuxd 1.1.0+69+g8a69f1a-1
usbview 2.0-5
util-linux 2.35.1-1
v4l-utils 1.18.0-1
vala 0.48.2-1
vid.stab 1.1-2
vim 8.2.0343-1
vim-runtime 8.2.0343-1
vlc 3.0.10-1
volume_key 0.3.12-2
vulkan-icd-loader 1.2.135-1
wavpack 5.2.0-1
wayland 1.18.0-1
wayland-protocols 1.20-1
webkit2gtk 2.28.0-3
webrtc-audio-processing 0.3.1-1
which 2.21-5
wildmidi 0.4.3-1
wireless_tools 30.pre9-3
woff2 1.0.2-1
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.0-1
x264 3:0.159.r2991.1771b55-1
x265 3.2.1-1
xapps 1.6.10-1
xcb-proto 1.14-1
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xdg-dbus-proxy 0.1.2-1
xdg-utils 1.1.3+19+g9816ebb-1
xdo 0.5.7-1
xf86-input-libinput 0.29.0-2
xf86-video-nouveau-git 1.0.16+4+g5444cab-1
xfconf 4.14.1-1
xfsprogs 5.5.0-1
xkeyboard-config 2.29-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.5-1
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.7-1
xorg-server-common 1.20.7-1
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xdpyinfo 1.3.2-3
xorg-xinit 1.4.1-1
xorg-xkbcomp 1.4.3-1
xorg-xmodmap 1.0.10-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorgproto 2019.2-2
xreader 2.4.4-1
xvidcore 1.3.7-1
xz 5.2.5-1
yajl 2.1.0-2
yay 9.4.4-1
yelp-tools 3.32.2-1
yelp-xsl 3.36.0-1
zathura 0.4.5-1
zeromq 4.3.2-1
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zoom 5.0.399860.0429-1
zstd 1.4.4-1
zziplib 0.13.69-1
